,random_expected_cost,random_true_cost,random_expected_value,random_true_value,costben_expected_cost,costben_true_cost,costben_expected_value,costben_true_value,optimal_expected_cost,optimal_true_cost,optimal_expected_value,optimal_true_value,cheap_expected_cost,cheap_true_cost,cheap_expected_value,cheap_true_value,good_expected_cost,good_true_cost,good_expected_value,good_true_value
0,4474509.497305167,4190871.6748574455,4.927570767526538,5.005458662255729,4342489.197411711,4589294.882521223,15.777130467134928,15.488754155224877,5013321.861568872,5523972.221073463,17.673452727568478,16.94732923725821,4760059.941484682,4982887.95573566,14.405131375042378,14.854825214083501,4269331.114301781,4608313.425334077,11.398625165137032,10.214380468423993
1,4579859.927470452,5164203.144478155,6.5154395378525365,6.639879696117081,4597903.092542138,5433290.374047236,23.53224493949221,21.296108675246124,4891904.795977604,5756164.368999188,24.594957498326263,22.678120437413327,4874647.176252349,5427338.564999094,21.40411866578152,21.28372734091411,4973003.355168124,4884467.503237587,15.872008141275328,14.046598191348586
2,4289432.51672685,4487071.632126314,6.199655317892061,6.015897792717276,4668429.9891873915,5382439.688540237,18.72468420239188,18.26212779527574,5026706.117374152,5548435.382471768,19.7334445825187,18.893040061262568,4950285.185037557,5465870.954045126,17.4372344423537,16.85918204154683,3515489.257555331,4007142.650431819,9.426805150110665,8.77803922997985
3,4672940.102136426,4007513.9153336086,6.501342236648481,6.751391337620524,4833486.333726285,5494471.2895255005,18.994138709649803,16.748257895554772,5028961.714699327,5718560.552835332,19.350145643690723,17.006365048126394,4756518.686512277,5644388.247322797,14.186966213734733,14.603456985139314,4293051.783560755,4186865.557636525,12.96635406669597,11.941187003596573
4,4733963.609913223,4930332.772293573,7.109179251483971,6.69452497107335,4937931.2849475695,5356749.488685469,16.999579886416356,16.495490200430687,5030497.53141601,5338118.006923787,17.062386666688226,16.678207579288657,4620347.907203457,5331393.8856266495,14.501531021133696,15.172693014735167,4826292.956138524,5098633.177963724,10.69867846566988,9.356700895123542
5,4531851.833777684,4545823.139059511,5.720139270293039,6.137703971565549,4963120.607049474,5729457.687087772,21.545797551132118,20.223372445654803,4963120.607049474,5729457.687087772,21.545797551132118,20.223372445654803,4870887.610388808,5550177.453579452,16.012238171672788,15.630124959150669,4285030.591239006,4189429.6409301073,14.217854764812849,13.318475157571394
6,4802425.433617614,4788380.051065131,9.743437832062302,9.250177515367007,4581471.85849299,4854764.786318555,17.957571227358713,17.55852108397415,4972829.537392441,5266451.956622776,19.065646363806096,18.692190472758085,4757410.726355858,5301335.91481442,15.822498705073002,15.934419572440785,4712377.357681195,4981763.890353828,11.933105525741798,10.528564516193242
7,4224096.773351903,4544170.489387175,6.213131675290997,5.7288535637477045,4274491.242065845,4617368.450182999,18.3080878854189,18.23737134164879,4977454.810379199,5413585.680902417,20.39639868483883,20.372610661324266,4970214.017077227,5372519.522371657,16.34868651811976,16.359356479794833,4759854.782737862,4926796.984403186,10.080778528891756,9.746291609732436
8,4787900.584442847,4843882.4887307575,6.056085326493214,6.385273208211443,4605528.677542756,4899570.879727157,17.073649755878655,16.46309805429717,5072452.244374084,5419560.756174113,18.20036136243735,17.5009465402598,4935515.649305585,5433492.325332403,14.514320636103543,14.773487907568795,4665006.77161104,4736215.019090893,12.690451081564573,11.766117494192102
9,4675270.977239427,4702025.185712333,8.292088037845062,7.925198215177733,4996281.830500275,5433501.669360138,22.712419284396095,21.687585222552197,5050845.419124856,5374483.911827126,22.862189472486264,21.91572276399403,4908317.027114769,5078161.433936814,18.254620910046313,18.427078162949936,3915125.7760651684,4429699.962043514,16.251378996166412,14.960282126211597
10,4639356.477430478,4844573.31933556,7.497651713384928,7.537724848850757,4842142.135879945,5257595.2907396015,20.516701603578756,19.668575285134004,4939855.929651228,5148809.439636601,20.806901520695693,19.93076668264275,4778542.728814609,5176533.41890475,14.043222955137292,13.614900980669455,4600621.951975371,4218394.9759544,11.971537596444204,11.434940742798597
11,4767023.716605107,4447704.234147063,5.884314618912263,5.784483443301414,4958497.582905891,5486966.846635993,19.803079429045518,19.013967380756434,4958497.582905891,5486966.846635993,19.803079429045518,19.013967380756434,4784540.794525433,4975394.902982617,14.686685397399831,15.454080690459298,3546531.757129589,3477445.025263528,10.581560393018513,8.901949407432184
12,4735330.871268583,4042749.1578582865,5.569820929734015,5.16399943319836,4813686.429497108,5064896.431702045,19.893231529812198,19.183539720523186,5070941.991158257,5165987.70973639,20.66909140674473,19.37461698660885,4904753.110303524,5602416.689098686,17.020176242967846,17.429640752922467,4374079.632199322,4527845.810609945,13.998738468660218,12.693811710569268
13,3437372.0000378173,3520257.151622985,5.824305658080424,5.772099645288023,4802095.360728813,4848126.99523731,21.873206049592948,20.617475690506094,5002179.241281149,5044080.988869706,22.560223467078824,21.387085744091014,4999406.251795038,5355007.068787274,18.76039477741098,18.689890140659035,4973984.4401084855,5068839.36885871,13.244993227786372,12.820861586472942
14,4331581.994887972,4013031.070571375,6.862740499047102,6.36510341915659,4742842.987281244,5542840.504699088,19.971742788592167,17.27238972247978,4965856.325950929,5696012.397901833,20.5939080924231,18.435813034564408,4647719.99834094,5047312.119719773,15.168015394464739,15.193353230963847,4378944.782092683,4280228.021795458,10.464939317143504,8.889159443827431
15,4794665.427670438,4910474.6731597325,6.32146817956668,6.604473407166093,4666572.9437516015,5195187.160217784,16.65625955035354,16.996283805049174,4901981.236346607,5478472.450658912,17.227808098316988,17.25544525072639,4937318.782628644,5817764.514452567,15.146724731062383,15.522376467127353,4508898.812154209,4570718.110645962,11.06865625401999,10.392723375839816
16,4826655.808627476,4991244.538559946,7.058265691715091,6.823390284506955,4627902.855846144,4953591.551755123,17.03552377217524,15.887017161721362,4992691.169900449,5145653.919204258,18.09703992148214,16.7793249470686,4862325.419433204,5239486.615950855,15.5286813818808,15.177901660939034,3939902.7174358047,4128057.045564168,10.72973806841099,10.28061228599509
17,3821073.923517985,3887013.634635183,6.008975134685166,5.959888162433157,4804867.224043058,5307061.239203094,20.586509773456307,19.770702566677667,4981778.508575511,5464769.04067937,21.146376052996096,20.109390034858603,4753436.131358968,5287544.357832726,17.69331451114977,17.74102039578606,4563166.038089231,4332553.037758947,10.757403640700433,8.829555309653868
18,4860117.00620059,4936827.7965616025,9.163702615611115,9.033230228070877,4895808.875976255,5890087.238913447,18.064432232259218,17.360839164311948,5006410.000558157,5949189.324408428,18.20182335244092,17.486246786368078,4842015.779209657,5429984.8569485545,15.232493293380767,14.536255974440943,4428252.582572455,4698212.420640675,10.207521286231303,9.303091254666507
19,4606769.649306879,4931164.094480642,4.920908325285855,5.289079984610037,4830918.2141572945,5166073.674077134,21.37210515458659,19.756640037206495,5002415.911783728,5407160.846649424,21.709258501014624,19.62857796146682,4900452.838082378,5725349.6190035585,16.697051657064833,15.907973519221885,4894691.816811961,4916433.943752644,16.600570788484724,15.361104388411986
20,4455052.103244615,4706806.378486485,5.509165821337902,5.656479278701292,4896038.636543396,4809744.681789571,16.530389540163497,16.04796106236416,4989282.512264198,4901631.747698656,16.599929040741383,15.896742653192863,4861989.486338977,5638395.9701772,12.859388661878628,12.872342658145095,3819019.3769194516,3672989.569592351,8.73142719188638,8.232766018017273
