,random_expected_cost,random_true_cost,random_expected_value,random_true_value,costben_expected_cost,costben_true_cost,costben_expected_value,costben_true_value,optimal_expected_cost,optimal_true_cost,optimal_expected_value,optimal_true_value,cheap_expected_cost,cheap_true_cost,cheap_expected_value,cheap_true_value,good_expected_cost,good_true_cost,good_expected_value,good_true_value
0,4750878.69152218,3985762.4020562936,7.717231737732275,8.151840128562618,4367901.828677046,5416676.6819443945,19.9108490693629,18.578511480607098,5005023.6584533565,6092906.7234606715,21.569424909478016,19.269261036086096,4952589.263661072,7515180.0485119885,18.5400165330855,20.469094022298062,4160045.233862805,3890924.1803676244,9.4834001665705,6.845192102150493
1,4765812.298442091,5085314.825359287,6.8232593752990205,7.425213754517202,4788948.743242147,6695689.564283392,22.41109909407539,19.151656389591544,5006516.5991043225,6838749.359001147,23.15365106314286,20.16453971947876,4734206.379753787,7456000.496805641,16.53436048926776,17.515531509939503,4572392.988689901,5057793.872401541,15.292232444294992,11.61288759376467
2,3514657.7066652514,3241736.4882450523,3.5868946672914053,2.9385600816763926,4711625.705685983,6115627.498857294,21.712406452908226,17.500712301008374,4889624.22353968,6189053.738497457,22.13877690376623,18.004790282940128,4747170.959059088,6565566.68495163,17.717544602230504,17.39472356038805,4771334.332761115,4439471.121710163,4.715736179746745,3.620535511265993
3,4225774.456369975,3663849.527527265,6.996912830508974,7.257504789052406,4700282.98914677,7106826.508577211,19.19292525464961,16.70745976902848,4993435.385196226,6399516.140682204,19.977054756890148,16.41785616005407,4756047.281235792,7705861.384113913,16.62090841120229,16.92264779013077,4777975.109427945,4312423.941542302,14.771832917902437,11.713111107480454
4,3205446.1743674716,4006194.214838183,7.756488077019893,6.8544512466222915,4903061.6252585985,7441729.935341479,26.325760047971986,24.74855979308089,5053583.278237373,7365909.731886317,26.531277631230555,24.576213251406003,4984702.367176561,6992859.782494592,21.44409509572078,21.19173038058598,4707741.355329558,5766935.000240076,17.324561916154032,13.18563293918071
5,4296309.573919973,4319740.1783383805,11.589749027367553,9.773049595970813,4726590.83144842,6850033.24437559,25.845548589727354,19.829899723799887,5009418.187437677,6892629.113129814,26.94844729912009,21.50967549567766,4934209.18112533,6753979.16390647,21.87359410989334,19.568624192144334,4341302.455947861,4231790.499847752,12.61706509963565,9.784709232117649
6,4643467.877198916,5171905.184049095,7.643665275186262,7.571364413352002,4996969.775328087,5985878.401862672,25.170248177385535,20.07721863190571,4996969.775328087,5985878.401862672,25.170248177385535,20.07721863190571,4649077.069105826,7523284.808088596,17.34044321923689,18.344725234746566,4610277.444871271,4093005.8643478025,18.058692899795425,13.452494274057575
7,4522836.701555842,4106175.182469001,7.085219675679639,8.062697681312446,4775576.354646711,6637194.500695028,18.232276941187273,16.19866983476758,5039908.953998486,6745018.0161761,18.975346140981788,16.37144177776462,4644418.120413583,6940532.358154281,14.142936762362167,15.261774049450427,4354304.72100163,3577819.4206018,8.593590830038588,6.168217922778597
8,4984360.230469853,4486724.591528369,6.988582867427491,7.350678412558292,4913313.794401398,6487173.047461399,22.802924884643062,19.716903771291747,5066224.814984665,6491310.494325662,23.33292222301157,20.344476640493767,4912847.234341386,7540361.229558967,19.05597111285698,18.58359328883298,4870953.294861122,5151237.116257672,15.09851124937068,11.848775541927008
9,4364539.759689317,3578754.102731292,4.964335014381926,4.452642791676303,4645658.213719502,6079616.484194187,21.75792514914159,18.961427950819157,5031076.993674888,6552839.222810661,22.95030737754466,19.99800858565824,4980895.68272103,6958678.635198799,17.61992679972508,17.30260654546191,3707853.4346050145,3136800.8584621903,8.13038070140416,5.972746481319739
10,4837993.837783106,5834436.511944984,9.675212870977877,10.116671799477922,4439444.750847723,7057066.041283683,18.032426526963555,18.440226932137794,4997923.516986241,7508435.461418385,19.759036528122298,20.28505638106498,4728341.385688281,7490603.907610634,17.304945794297808,19.335408374185576,4949291.8956873305,6125885.377563922,14.759464376596048,12.593561603592333
11,4476122.196925953,5757544.502645989,10.53904577949487,9.926870254112874,4956784.280251425,6093495.748661274,22.706976907362847,19.05668794966306,4956784.280251425,6093495.748661274,22.706976907362847,19.05668794966306,4872505.301062553,7445077.110971545,17.24639116484519,16.68641027232669,4926191.45714584,4507525.388754047,14.398315487863476,11.27004405250894
12,4425316.630320595,3824258.9175053313,6.378257692693597,5.8920386937153495,4814456.880745045,6634551.5329815885,22.742640288595204,18.476492420169684,5121810.875270994,6693366.104404075,23.650609421780928,19.030822214853302,4717236.563429698,7039344.567857948,19.11125109681,17.644997346330328,4402748.919450341,4250732.619955255,14.339179808123774,10.739814919108756
